B2dec,B3dec,B4dec,B5dec,B6dec,B7dec,B8dec,B8Adec,B11dec,B12dec,B2jan,B3jan,B4jan,B5jan,B6jan,B7jan,B8jan,B8Ajan,B11jan,B12jan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1229.388888888889,1191.0555555555557,1319.8333333333333,1570.888888888889,2060.3333333333335,2386.8888888888887,2355.777777777778,2749.3333333333335,2888.4444444444443,1726.7222222222222,1229.388888888889,1191.0555555555557,1319.8333333333333,1570.888888888889,2060.3333333333335,2386.8888888888887,2355.777777777778,2749.3333333333335,2888.4444444444443,1726.7222222222222
1196.888888888889,1138.5555555555557,1279.3333333333333,1518.7777777777778,2032.388888888889,2409.5555555555557,2331.222222222222,2729.6111111111113,2875.222222222222,1710.0555555555557,1196.888888888889,1138.5555555555557,1279.3333333333333,1518.7777777777778,2032.388888888889,2409.5555555555557,2331.222222222222,2729.6111111111113,2875.222222222222,1710.0555555555557
1217.1666666666667,1159.0555555555557,1341.2777777777778,1549.111111111111,2031.1666666666667,2390.5555555555557,2321.3888888888887,2747.9444444444443,2932.222222222222,1735.1666666666667,1217.1666666666667,1159.0555555555557,1341.2777777777778,1549.111111111111,2031.1666666666667,2390.5555555555557,2321.3888888888887,2747.9444444444443,2932.222222222222,1735.1666666666667
1171.611111111111,1090.4444444444443,1201.9444444444443,1467.2222222222222,1853.2222222222222,2178.1111111111113,2092.8888888888887,2523.722222222222,2559.8333333333335,1487.111111111111,1171.611111111111,1090.4444444444443,1201.9444444444443,1467.2222222222222,1853.2222222222222,2178.1111111111113,2092.8888888888887,2523.722222222222,2559.8333333333335,1487.111111111111
1143.7222222222222,1071.3333333333333,1105.0,1396.2222222222222,1916.111111111111,2248.6666666666665,2237.8333333333335,2638.3888888888887,2281.277777777778,1247.5555555555557,1143.7222222222222,1071.3333333333333,1105.0,1396.2222222222222,1916.111111111111,2248.6666666666665,2237.8333333333335,2638.3888888888887,2281.277777777778,1247.5555555555557
1103.1666666666667,1046.3333333333333,1002.2222222222222,1355.1666666666667,1974.0,2294.6666666666665,2322.0555555555557,2657.8333333333335,2090.8333333333335,1104.1666666666667,1103.1666666666667,1046.3333333333333,1002.2222222222222,1355.1666666666667,1974.0,2294.6666666666665,2322.0555555555557,2657.8333333333335,2090.8333333333335,1104.1666666666667
1120.0555555555557,1043.0555555555557,1067.0,1372.388888888889,1912.111111111111,2243.3333333333335,2257.1666666666665,2649.5555555555557,2130.5,1140.111111111111,1120.0555555555557,1043.0555555555557,1067.0,1372.388888888889,1912.111111111111,2243.3333333333335,2257.1666666666665,2649.5555555555557,2130.5,1140.111111111111
1121.2222222222222,1044.2777777777778,1027.9444444444443,1338.1666666666667,1872.2222222222222,2189.222222222222,2232.1666666666665,2600.6666666666665,2158.0555555555557,1182.3333333333333,1121.2222222222222,1044.2777777777778,1027.9444444444443,1338.1666666666667,1872.2222222222222,2189.222222222222,2232.1666666666665,2600.6666666666665,2158.0555555555557,1182.3333333333333
1135.7777777777778,1058.2777777777778,1097.8333333333333,1357.4444444444443,1826.5,2155.6111111111113,2176.5555555555557,2579.0555555555557,2252.0,1272.0555555555557,1135.7777777777778,1058.2777777777778,1097.8333333333333,1357.4444444444443,1826.5,2155.6111111111113,2176.5555555555557,2579.0555555555557,2252.0,1272.0555555555557
1155.388888888889,1076.7777777777778,1150.9444444444443,1403.888888888889,1864.8333333333333,2196.0555555555557,2204.8333333333335,2615.8333333333335,2359.1111111111113,1351.0555555555557,1155.388888888889,1076.7777777777778,1150.9444444444443,1403.888888888889,1864.8333333333333,2196.0555555555557,2204.8333333333335,2615.8333333333335,2359.1111111111113,1351.0555555555557
1172.388888888889,1086.3333333333333,1183.388888888889,1466.4444444444443,1921.3333333333333,2254.5555555555557,2264.5,2676.6666666666665,2553.4444444444443,1569.2777777777778,1172.388888888889,1086.3333333333333,1183.388888888889,1466.4444444444443,1921.3333333333333,2254.5555555555557,2264.5,2676.6666666666665,2553.4444444444443,1569.2777777777778
1171.2777777777778,1099.3333333333333,1187.7777777777778,1481.6666666666667,1919.7777777777778,2265.8888888888887,2228.0,2656.222222222222,2490.777777777778,1505.388888888889,1171.2777777777778,1099.3333333333333,1187.7777777777778,1481.6666666666667,1919.7777777777778,2265.8888888888887,2228.0,2656.222222222222,2490.777777777778,1505.388888888889
1153.388888888889,1071.9444444444443,1115.3333333333333,1421.1666666666667,1920.111111111111,2275.777777777778,2270.1666666666665,2692.0,2350.3888888888887,1313.6666666666667,1153.388888888889,1071.9444444444443,1115.3333333333333,1421.1666666666667,1920.111111111111,2275.777777777778,2270.1666666666665,2692.0,2350.3888888888887,1313.6666666666667
1145.611111111111,1066.388888888889,1109.611111111111,1436.611111111111,1952.2222222222222,2295.8888888888887,2300.777777777778,2717.8888888888887,2350.277777777778,1292.7777777777778,1145.611111111111,1066.388888888889,1109.611111111111,1436.611111111111,1952.2222222222222,2295.8888888888887,2300.777777777778,2717.8888888888887,2350.277777777778,1292.7777777777778
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
